model,os_name,diff_date,RR_1,RR_2,RR_3,RR_4,RR_5,RR_6,RR_7,RR_8,RR_9,RR_10,RR_11,RR_12,RR_13,RR_14,is_Mon,is_Tue,is_Wed,is_Thu,is_Fri,is_Sat,is_Sun
retention,macos,-0.0003715010352427289,0.036650845048035056,0.05459782234102874,-0.061829603251875906,0.1030088667617423,-0.04160712741688331,0.07583709630821305,-0.022732111568281935,-0.002409508922186379,0.07411776061274893,0.14883692792723255,-0.06616595880729544,0.16940367290155292,0.09707130777778973,0.23490995550032698,0.005083211823334991,0.0048796766148061456,0.005733390256941982,0.006185332057485777,0.003408057906018467,-0.009503960725551859,-0.015785707933034927
revenue,macos,-34.50096593146086,0.011637841297125806,0.005644973866699628,0.004632474124341231,0.014391104311616817,0.0049615743207001945,0.02187803198326803,0.001477133325698185,0.0023218018629439746,-0.007444406504239207,0.0018074075140125914,0.005506963001872571,0.0028761753866086886,0.015449858242407107,0.034801522406297726,-100.8652187705653,-31.935765423978484,567.39448130917,396.5509840229362,359.283097915074,-390.8062105810691,-799.6213684715665
retention,windows,-0.0005177808849385293,0.03181682086783727,0.008957453198801183,-0.0043744624880731175,0.02429112017016094,-0.0068578339737110135,0.048118204296057544,0.015817854398138494,-0.008103826586024,0.05354043434168706,0.028041014172876817,0.1291705814250728,0.03903122825978592,0.130062281925991,0.17182263489032348,0.004998923193757739,0.006239528542861008,0.006729520954729584,0.008263458440413401,0.004640759897656629,-0.01217140714178534,-0.018700783887633105
revenue,windows,-305.16220492647756,0.026487732366074854,0.037539575438556474,-0.009135567336144393,0.04333191309613408,0.015476019383490188,-0.0103577312364503,-0.014947483990378345,-0.0076777535359421655,0.010230634455071568,0.024927611497508797,0.026038184866301637,0.03891455176013488,0.06388939735515684,0.14198925546551472,-434.69259175377823,1046.6423110377118,2118.8283399547295,3194.919582530538,3677.9878323972935,-2747.0836373324682,-6856.601836833959
retention,android,-0.0006302948878996403,-0.027337504619876142,-0.019919391043758446,0.04622439908489532,-0.01794213308756426,0.02203453348445715,0.007969657260944287,-0.004219504666295687,0.051840546186475024,0.03525519504434925,0.0263090758745932,0.10254645380294639,0.13486954612106422,0.1146098876301177,0.26131165209404417,0.0016109891320923268,0.0016837414191302098,0.0014719989960918355,0.0017267019693634582,0.001021692162309557,-0.004294841912726643,-0.003220281766260689
revenue,android,-526.7113396140774,0.022686092219444804,0.012969068899863049,0.0037808947067041136,0.033989492214694716,0.010986431721233918,0.009097945289499296,0.05559261745458222,0.0006394892715270839,0.004452952390164018,0.021679563135387842,0.050766461071443496,0.008453405780377274,0.060634124771766516,0.05198047812590269,-993.5116636001849,-172.16074646795124,-327.5688641088141,-453.49313395838385,192.08536368557475,89.90462907856667,1664.744415371196
retention,ios,-0.00048342186702953513,0.02421937037067721,-0.03293241842133106,0.027688634551321933,-0.06329444417786755,0.08001444492792888,0.07851018051528552,0.01614193298853235,0.008579611941426622,0.027694844851044377,0.10003979223262835,0.05845342478521527,0.05601104106927902,0.10961690077292376,0.15171822198789087,-0.00029289138950047694,-0.0005157768086952621,-0.0016678612178179667,-0.0014982060901828616,0.0004136532883391371,0.0007776144248794485,0.0027834677929780252
revenue,ios,-229.03919527032932,0.009285739891037868,0.010452989476378254,0.005985286408008954,0.004126561927834413,0.032012891366566085,0.004472668576051028,0.033834401220745165,0.0369586854274513,0.010635366665089057,0.0454919850450655,0.055544571887673075,0.005978814330701223,0.052984467587363256,0.05196344463486406,-870.5277228818353,53.28216071842961,-83.01120238551088,25.24703569188677,776.187958326651,87.77299899324203,11.048771537136071
retention,ipados,-0.00020802391006622832,0.0022453153123756105,-0.03148131311638845,-0.005726486486166126,-0.03972135992286823,0.07118019414095231,-0.048766017748601585,0.04109465954725409,0.13214502398971725,0.12254898303047981,0.06842849826831084,0.0663110594745067,0.17057248650760604,0.0997687669483934,0.1320103018301457,-0.0004805622457369503,-0.000977361291188205,-0.0008743586745668925,-0.0010698355204004388,-0.0014601779600675574,0.0009140079150762588,0.003948287776884081
revenue,ipados,-8.660432729637641,0.030339869976105598,0.010901407151474718,0.019804490158995398,0.012100716477055082,0.007755526665032023,0.009745063429394945,0.003818120716700558,0.0027964112770974023,0.013192844365956306,0.02586008090044728,-0.0015648924206105213,-0.005019918597431309,0.05264993791767639,-0.0035819627624818543,-57.04636147695607,-147.1766908977557,-52.43836485366552,-60.467048962589786,-52.83286421442286,164.53724989854203,205.4240805068478
